               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10589,             0.19872,                   0,              0.1542,             0.16116,            0.078883,            0.022666,            0.088827,             0.14326,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.081017,             0.18739,                   0,             0.30466,              0.5114,             0.27514,            0.094399,            0.073315,             0.21123,                   0,            0.061257,           0.0042574,           0.0042574
                   2,            0.068113,             0.16481,                   0,             0.33937,             0.92192,             0.35715,             0.15376,            0.071386,             0.17423,                   0,            0.041371,           0.0063713,           0.0063713
                   3,            0.068621,             0.16717,                   0,              0.5506,              0.8038,             0.57749,             0.14932,            0.072441,             0.13795,                   0,            0.021442,           0.0084416,           0.0084416
                   4,            0.069236,             0.16782,                   0,             0.43964,             0.77043,             0.52247,             0.18917,             0.05784,             0.14129,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.063998,             0.16582,                   0,              0.8667,             0.86186,             0.88565,              0.3922,            0.053084,             0.12953,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.057653,              0.1641,                   0,             0.44118,              0.8219,             0.53038,             0.20452,            0.053116,             0.13908,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050967,               0.169,                   0,             0.84386,             0.84785,             0.90125,             0.50948,            0.043105,             0.15496,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.045734,             0.16288,                   0,             0.84436,             0.92318,             0.91612,             0.50009,            0.043208,             0.12334,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.046171,             0.15771,                   0,             0.86558,             0.92178,             0.92086,             0.44754,            0.039503,             0.13156,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043681,             0.16447,                   0,             0.86204,             0.93819,             0.92728,             0.52993,            0.040476,             0.13423,                   0,            0.009109,            0.009109,            0.009109
